"","Sample.1","Sample.2","Sample.3","Sample.4"
"PA 32:2",NA,NA,NA,NA
"PA 32:1",NA,NA,NA,NA
"PA 32:0",NA,NA,NA,NA
"PA O-34:2",NA,NA,NA,NA
"PA O-34:1",NA,NA,NA,NA
"PA 34:3",NA,NA,NA,NA
"PA 34:2",NA,NA,NA,NA
"PA 34:1",NA,NA,NA,NA
"PA O-36:2",NA,NA,NA,NA
"PA O-36:1",NA,NA,NA,NA
"PA 36:4",NA,NA,NA,NA
"PA 36:3",NA,NA,NA,NA
"PA 36:2",NA,NA,NA,NA
"PA 36:1",NA,NA,NA,NA
"PA 38:6",NA,NA,NA,NA
"PA 38:5",NA,NA,NA,NA
"PA 38:4",NA,NA,NA,NA
"PA 38:3",NA,NA,NA,NA
