"","Sample.1","Sample.2","Sample.3","Sample.4"
"PI 32:1",NA,NA,NA,NA
"PI 32:0",NA,NA,NA,NA
"PI 34:2",NA,NA,NA,NA
"PI 34:1",NA,NA,NA,NA
"PI 34:0",NA,NA,NA,NA
"PI O-36:3",NA,NA,NA,NA
"PI O-36:2",NA,NA,NA,NA
"PI O-36:1",NA,NA,NA,NA
"PI 36:4",NA,NA,NA,NA
"PI 36:3",NA,NA,NA,NA
"PI 36:2",NA,NA,NA,NA
"PI 36:1",NA,NA,NA,NA
"PI O-38:3",NA,NA,NA,NA
"PI O-38:2",NA,NA,NA,NA
"PI 38:5",NA,NA,NA,NA
"PI 38:4",NA,NA,NA,NA
"PI 38:3",NA,NA,NA,NA
"PI 38:2",NA,NA,NA,NA
"PI O-40:4",NA,NA,NA,NA
"PI O-40:3",NA,NA,NA,NA
"PI 40:6",NA,NA,NA,NA
"PI 40:5",NA,NA,NA,NA
"PI 40:4",NA,NA,NA,NA
"PI 40:3",NA,NA,NA,NA
"PI 40:2",NA,NA,NA,NA
