"","Sample.1","Sample.2","Sample.3","Sample.4"
"PS 32:3",NA,NA,NA,NA
"PS 32:2",NA,NA,NA,NA
"PS 32:1",NA,NA,NA,NA
"PS O-34:2",NA,NA,NA,NA
"PS O-34:1",NA,NA,NA,NA
"PS 34:2",NA,NA,NA,NA
"PS 34:1",NA,NA,NA,NA
"PS 34:0",NA,NA,NA,NA
"PS O-36:2",NA,NA,NA,NA
"PS O-36:1",NA,NA,NA,NA
"PS 36:4",NA,NA,NA,NA
"PS 36:3",NA,NA,NA,NA
"PS 36:2",NA,NA,NA,NA
"PS 36:1",NA,NA,NA,NA
"PS 36:0",NA,NA,NA,NA
"PS O-38:3",NA,NA,NA,NA
"PS O-38:2",NA,NA,NA,NA
"PS O-38:1",NA,NA,NA,NA
"PS 38:7",NA,NA,NA,NA
"PS 38:6",NA,NA,NA,NA
"PS 38:5",NA,NA,NA,NA
"PS 38:4",NA,NA,NA,NA
"PS 38:3",NA,NA,NA,NA
"PS 38:2",NA,NA,NA,NA
"PS 38:1",NA,NA,NA,NA
"PS 38:0",NA,NA,NA,NA
"PS O-40:2",NA,NA,NA,NA
"PS O-40:1",NA,NA,NA,NA
"PS O-40:0",NA,NA,NA,NA
"PS 40:6",NA,NA,NA,NA
"PS 40:5",NA,NA,NA,NA
"PS 40:4",NA,NA,NA,NA
"PS 40:3",NA,NA,NA,NA
"PS 40:1",NA,NA,NA,NA
"PS O-42:3",NA,NA,NA,NA
"PS O-42:2",NA,NA,NA,NA
"PS O-42:1",NA,NA,NA,NA
"PS O-42:0",NA,NA,NA,NA
"PS 42:6",NA,NA,NA,NA
"PS 42:5",NA,NA,NA,NA
"PS 42:4",NA,NA,NA,NA
"PS 42:2",NA,NA,NA,NA
"PS 42:1",NA,NA,NA,NA
