"","Sample.1","Sample.2","Sample.3","Sample.4"
"PE 32:2",NA,NA,NA,NA
"PE 32:1",NA,NA,NA,NA
"PE O-34:3",NA,NA,NA,NA
"PE O-34:2",NA,NA,NA,NA
"PE O-34:1",NA,NA,NA,NA
"PE 34:2",NA,NA,NA,NA
"PE 34:1",NA,NA,NA,NA
"PE O-36:6",NA,NA,NA,NA
"PE O-36:5",NA,NA,NA,NA
"PE O-36:4",NA,NA,NA,NA
"PE O-36:3",NA,NA,NA,NA
"PE O-36:2",NA,NA,NA,NA
"PE O-36:1",NA,NA,NA,NA
"PE 36:5",NA,NA,NA,NA
"PE 36:4",NA,NA,NA,NA
"PE 36:3",NA,NA,NA,NA
"PE 36:2",NA,NA,NA,NA
"PE 36:1",NA,NA,NA,NA
"PE 36:0",NA,NA,NA,NA
"PE O-38:6",NA,NA,NA,NA
"PE O-38:5",NA,NA,NA,NA
"PE O-38:4",NA,NA,NA,NA
"PE O-38:3",NA,NA,NA,NA
"PE O-38:2",NA,NA,NA,NA
"PE O-38:1",NA,NA,NA,NA
"PE O-38:0",NA,NA,NA,NA
"PE 38:6",NA,NA,NA,NA
"PE 38:5",NA,NA,NA,NA
"PE 38:4",NA,NA,NA,NA
"PE 38:3",NA,NA,NA,NA
"PE 38:2",NA,NA,NA,NA
"PE 38:1",NA,NA,NA,NA
"PE 38:0",NA,NA,NA,NA
"PE O-40:6",NA,NA,NA,NA
"PE O-40:5",NA,NA,NA,NA
"PE O-40:4",NA,NA,NA,NA
"PE O-40:3",NA,NA,NA,NA
"PE O-40:2",NA,NA,NA,NA
"PE O-40:1",NA,NA,NA,NA
"PE 40:7",NA,NA,NA,NA
"PE 40:6",NA,NA,NA,NA
"PE 40:5",NA,NA,NA,NA
"PE 40:4",NA,NA,NA,NA
"PE 40:3",NA,NA,NA,NA
