"","Sample.1","Sample.2","Sample.3","Sample.4"
"SM 34:2;2",NA,NA,NA,NA
"SM 34:1;2",NA,NA,NA,NA
"SM 34:0;2",NA,NA,NA,NA
"SM 36:2;2",NA,NA,NA,NA
"SM 36:1;2",NA,NA,NA,NA
"SM 36:0;2",NA,NA,NA,NA
"SM 38:2;2",NA,NA,NA,NA
"SM 38:1;2",NA,NA,NA,NA
"SM 38:0;2",NA,NA,NA,NA
"SM 40:2;2",NA,NA,NA,NA
"SM 40:1;2",NA,NA,NA,NA
"SM 40:0;2",NA,NA,NA,NA
"SM 42:3;2",NA,NA,NA,NA
"SM 42:2;2",NA,NA,NA,NA
"SM 42:1;2",NA,NA,NA,NA
"SM 42:0;2",NA,NA,NA,NA
