"","Sample.1","Sample.2","Sample.3","Sample.4"
"HexCer 34:1;2",NA,NA,NA,NA
"HexCer 36:1;2",NA,NA,NA,NA
"HexCer 38:1;2",NA,NA,NA,NA
"HexCer 38:2;3",NA,NA,NA,NA
"HexCer 40:2;2",NA,NA,NA,NA
"HexCer 40:1;2",NA,NA,NA,NA
"HexCer 40:3;3",NA,NA,NA,NA
"HexCer 40:2;3",NA,NA,NA,NA
"HexCer 40:1;3",NA,NA,NA,NA
"HexCer 42:3;2",NA,NA,NA,NA
"HexCer 42:2;2",NA,NA,NA,NA
"HexCer 42:1;2",NA,NA,NA,NA
"HexCer 42:3;3",NA,NA,NA,NA
"HexCer 42:2;3",NA,NA,NA,NA
"HexCer 42:1;3",NA,NA,NA,NA
