"","Sample.1","Sample.2","Sample.3","Sample.4"
"Chol 14:1",NA,NA,NA,NA
"Chol 14:0",NA,NA,NA,NA
"Chol 15:0",NA,NA,NA,NA
"Chol 16:2",NA,NA,NA,NA
"Chol 16:1",NA,NA,NA,NA
"Chol 16:0",NA,NA,NA,NA
"Chol 17:1",NA,NA,NA,NA
"Chol 17:0",NA,NA,NA,NA
"Chol 18:3",NA,NA,NA,NA
"Chol 18:2",NA,NA,NA,NA
"Chol 18:1",NA,NA,NA,NA
"Chol 18:0",NA,NA,NA,NA
"Chol 19:1",NA,NA,NA,NA
"Chol 20:4",NA,NA,NA,NA
"Chol 20:3",NA,NA,NA,NA
"Chol 20:2",NA,NA,NA,NA
"Chol 20:1",NA,NA,NA,NA
"Chol 22:6",NA,NA,NA,NA
"Chol 22:5",NA,NA,NA,NA
